id,side,x_file,y_file,c_file
000086,left,x_000086_left.npy,y_000086_left.npy,c_000086_left.npy
000086,right,x_000086_right.npy,y_000086_right.npy,c_000086_right.npy
000938,left,x_000938_left.npy,y_000938_left.npy,c_000938_left.npy
000938,right,x_000938_right.npy,y_000938_right.npy,c_000938_right.npy
000092,left,x_000092_left.npy,y_000092_left.npy,c_000092_left.npy
000092,right,x_000092_right.npy,y_000092_right.npy,c_000092_right.npy
000904,left,x_000904_left.npy,y_000904_left.npy,c_000904_left.npy
000904,right,x_000904_right.npy,y_000904_right.npy,c_000904_right.npy
000910,left,x_000910_left.npy,y_000910_left.npy,c_000910_left.npy
000910,right,x_000910_right.npy,y_000910_right.npy,c_000910_right.npy
000045,left,x_000045_left.npy,y_000045_left.npy,c_000045_left.npy
000045,right,x_000045_right.npy,y_000045_right.npy,c_000045_right.npy
000723,left,x_000723_left.npy,y_000723_left.npy,c_000723_left.npy
000723,right,x_000723_right.npy,y_000723_right.npy,c_000723_right.npy
000737,left,x_000737_left.npy,y_000737_left.npy,c_000737_left.npy
000737,right,x_000737_right.npy,y_000737_right.npy,c_000737_right.npy
000051,left,x_000051_left.npy,y_000051_left.npy,c_000051_left.npy
000051,right,x_000051_right.npy,y_000051_right.npy,c_000051_right.npy
000079,left,x_000079_left.npy,y_000079_left.npy,c_000079_left.npy
000284,left,x_000284_left.npy,y_000284_left.npy,c_000284_left.npy
000284,right,x_000284_right.npy,y_000284_right.npy,c_000284_right.npy
000290,left,x_000290_left.npy,y_000290_left.npy,c_000290_left.npy
000290,right,x_000290_right.npy,y_000290_right.npy,c_000290_right.npy
000521,left,x_000521_left.npy,y_000521_left.npy,c_000521_left.npy
000521,right,x_000521_right.npy,y_000521_right.npy,c_000521_right.npy
000247,left,x_000247_left.npy,y_000247_left.npy,c_000247_left.npy
000247,right,x_000247_right.npy,y_000247_right.npy,c_000247_right.npy
000253,left,x_000253_left.npy,y_000253_left.npy,c_000253_left.npy
000253,right,x_000253_right.npy,y_000253_right.npy,c_000253_right.npy
000535,left,x_000535_left.npy,y_000535_left.npy,c_000535_left.npy
000535,right,x_000535_right.npy,y_000535_right.npy,c_000535_right.npy
000509,left,x_000509_left.npy,y_000509_left.npy,c_000509_left.npy
000509,right,x_000509_right.npy,y_000509_right.npy,c_000509_right.npy
000496,left,x_000496_left.npy,y_000496_left.npy,c_000496_left.npy
000496,right,x_000496_right.npy,y_000496_right.npy,c_000496_right.npy
000482,left,x_000482_left.npy,y_000482_left.npy,c_000482_left.npy
000482,right,x_000482_right.npy,y_000482_right.npy,c_000482_right.npy
000455,left,x_000455_left.npy,y_000455_left.npy,c_000455_left.npy
000455,right,x_000455_right.npy,y_000455_right.npy,c_000455_right.npy
000333,left,x_000333_left.npy,y_000333_left.npy,c_000333_left.npy
000333,right,x_000333_right.npy,y_000333_right.npy,c_000333_right.npy
000327,left,x_000327_left.npy,y_000327_left.npy,c_000327_left.npy
